idx,srcType,factoryName,area1,area2,area3,address,Latitude,Longitude,Product,yearPermitted,yearClosed,Remarks
1050,mine,이화석면,강원,영월군,영월읍,강원 영월군 영월읍 팔괴리 산314,37.1477636,128.4917911,,1985,1985,
1051,mine,애국,강원,영월시,,강원 영월시,37.860367,128.311526,,1941,1945,
1052,mine,감봉리,강원,철원군,근북면,강원 철원군 근북면,38.315418,127.4025464,,0,0,
1053,mine,웅봉광산,강원,춘천시,북산면,강원 춘천시 북산면 조교리 산1-35,37.9383255,127.954976,,1971,1971,
1054,mine,가평광산,경기,가평군,설악면,경기 가평군 설악면 위곡리 산 178-1,37.669206,127.5189841,,1963,1966,
1055,mine,명진광산,경기,가평군,설악면,경기 가평군 설악면 위곡리 산 31-1,37.6703817,127.5348893,,1979,1983,
1056,mine,위곡리,경기,가평군,설악면,경기 가평군 설악면 위곡리 산 124,37.677705,127.534679,,0,0,
1057,mine,한국광산,경기,가평군,설악면,경기 가평군 설악면 위영리,37.6762513,127.4946879,,0,0,
1058,mine,현덕광산,경기,평택시,현덕면,경기 평택시 현덕면 도대리 산39-11임,36.9513409,126.9084482,,0,0,
1059,mine,대광광산,경북,봉화군,석포면,경북 봉화군 석포면,37.0486623,129.0651481,,0,0,
1060,mine,안동광산,경북,안동시,풍천면,경북 안동시 풍천면,36.556208,128.50645,,0,0,
1061,mine,풍천광산,경북,안동시,풍천면,경북 안동시 풍천면,36.556208,128.50645,,0,0,
1062,mine,봉현광산,경북,영주시,봉현면,경북 영주시 봉현면 두산리 산21,36.872643,128.5083841,,1978,1983,
1063,mine,동사리석면,경북,예천군,하리면,경북 예천군 하리면 동사리 산2-1,36.7803707,128.4588532,,0,0,
1064,mine,대흥울진,경북,울진군,울진읍,경북 울진군 울진읍 대흥리 산55,36.9760935,129.3236617,,1984,1984,
1065,mine,겸백광산,전남,보성군,겸백면,전남 보성군 겸백면 사곡리 산17,34.8124094,127.1724524,,1974,1974,
1066,mine,율어광산,전남,보성군,율어면,전남 보성군 율어면 장동리 산62,34.8644228,127.2137232,,1969,1969,
1067,mine,중앙1광산,충남,보령군,오천면,충남 보령군 오천면 중앙1광산,36.617338,126.845397,,1980,1992,
1068,mine,진죽광산,충남,보령군,청소면,충남 보령군 청소면,36.617338,126.845397,,1963,1966,
1069,mine,보령석면,충남,보령시,오천면,충남 보령시 오천면,36.4383101,126.5224079,,1971,1975,
1070,mine,보원 2석면,충남,보령시,오천면,충남 보령시 오천면 갈현리 산11-7일원,36.4272375,126.5593326,,0,0,
1071,mine,대보,충남,보령시,오천면,충남 보령시 오천면 교성리 산65-1,36.4323322,126.5561593,,0,0,
1072,mine,신석석면,충남,보령시,오천면,충남 보령시 오천면 교성리 58-8일원,36.42181,126.54124,,2001,2006,
1073,mine,보덕석면,충남,보령시,청소면,충남 보령시 청소면 성연리 산472-3,36.4412833,126.634888,,1977,1977,
1074,mine,보령석면,충남,보령시,청소면,충남 보령시 청소면 정전리 산73,36.4342871,126.6150925,,1987,1987,
1075,mine,재정석면,충남,보령시,청소면,충남 보령시 청소면 재정리 산31,36.4512696,126.6186063,,0,0,
1076,mine,보원 1석면,충남,보령시,청소면,충남 보령시 청소면,36.44546,126.589538,,1971,1984,
1077,mine,광도,충남,서산군,,충남 서산군,36.617338,126.845397,,1941,1945,
1078,mine,아진광산,충남,서산군,근흥면,충남 서산군 근흥면 아진광산,36.617338,126.845397,,0,0,
1079,mine,서창광산,충남,서산군,이북면,충남 서산군 이북면 ,36.617338,126.845397,,0,0,
1080,mine,광천서산,충남,서산시,대산읍,충남 서산시 대산읍 대로리 881-66,36.9305438,126.3917947,,1941,1945,
1081,mine,대천리광산,충남,예산군,고덕면,충남 예산군 고덕면 몽곡리 산32-4,36.765808,126.7089985,,0,0,
1082,mine,흥동,충남,예산군,광시면,충남 예산군 광시면 미곡리 산17,36.5653009,126.8006295,,1978,1978,
1083,mine,응봉예산,충남,예산군,응봉면,충남 예산군 응봉면 지석리 65-6,36.6444768,126.7644777,,1974,1979,
1084,mine,구봉석면,충남,청양군,남양면,충남 청양군 남양면 흥산리 산 17-1,36.3743251,126.7404521,,1974,1974,
1085,mine,비봉광산,충남,청양군,비봉면,충남 청양군 비봉면 강정리 112-6,36.5120955,126.7777271,,1981,1981,
1086,mine,양사,충남,청양군,비봉면,충남 청양군 비봉면 양사리 산11-1,36.502969,126.7724683,,0,0,
1087,mine,신덕석면,충남,태안군,소원면,충남 태안군 소원면 신덕리 산148-1,36.7587158,126.1999873,,1979,1986,
1088,mine,영진광산,충남,태안군,원북면,충남 태안군 원북면 청산리 370-6,36.8115732,126.2649884,,1989,1989,
1089,mine,청산리석면,충남,태안군,원북면,충남 태안군 원북면 청산리 70-3,36.8297378,126.3029189,,0,0,
1090,mine,백토,충남,홍성군,광천면,충남 홍성군 광천면 백토,36.601324,126.660775,,1941,1969,
1091,mine,경남광산,충남,홍성군,광천읍,충남 홍성군 광천읍 경남광산(상정리에서 남쪽으로 약 1.2km 지점에 위치한다, 한국의 광상제3호, p321),36.5045591,126.6248597,,1975,1975,
1092,mine,일봉광산,충남,홍성군,광천읍,충남 홍성군 광천읍 신진리 일봉광산,36.5119875,126.6238574,,1944,1944,
1093,mine,광천1광산,충남,홍성군,광천읍,충남 홍성군 광천읍 상정리,36.5231249,126.6102078,,1938,1986,
1094,mine,매현리광산,충남,홍성군,광천읍,충남 홍성군 광천읍 매현리 산87-1,36.5216134,126.6255465,,0,0,
1095,mine,월림광산,충남,홍성군,광천읍,충남 홍성군 광천읍 월림리 산38-1, 산98-1,36.5298986,126.6525584,,0,0,
1096,mine,대흥홍동,충남,홍성군,구항면,충남 홍성군 구항면 신곡리 산13-3,36.5423128,126.6427182,,1971,1971,
1097,mine,신곡리,충남,홍성군,구항면,충남 홍성군 구항면 신곡리 산13-3,36.5426051,126.6423941,,0,0,
1098,mine,홍성광산,충남,홍성군,구항면,충남 홍성군 구항면 청광리 산109-20,36.5603268,126.6351304,,1935,1992,
1099,mine,동양광산,충남,홍성군,홍동면,충남 홍성군 홍동면 동양광산,36.559083,126.688063,,0,0,
1100,mine,월림석면,충남,홍성군,홍동면,충남 홍성군 홍동면,36.559083,126.688063,,1972,1974,
1101,mine,홍동개월,충남,홍성군,홍동면,충남 홍성군 월현리 167-2,36.5486707,126.6770552,,1974,1974,
1102,mine,홍동백동,충남,홍성군,홍동면,충남 홍성군 홍동면 금당리 223-4,36.5583109,126.7327671,,1972,1973,
1103,mine,신성광산,충남,홍성군,홍성읍,충남 홍성군 홍성읍 신성리 산12-1,36.5587813,126.6776111,,0,0,
1104,mine,충남석면,충남,홍성군,홍성읍,충남 홍성군 홍성읍 송월리 244-1,36.5745777,126.6776759,,1973,1974,
1105,mine,남아석면,충북,제천군,,충북 제천군,36.785372,127.65514,,1941,1945,
1106,mine,덕수,충북,제천시,,충북 제천시,37.1326438,128.1910398,,1941,1945,
1107,mine,선왕제천,충북,제천시,,충북 제천시,37.1326438,128.1910398,,1941,1945,
1108,mine,수산,충북,제천시,,충북 제천시,37.1326438,128.1910398,,1941,1945,
1109,mine,일출충북,충북,제천시,,충북 제천시,37.1326438,128.1910398,,1941,1945,
1110,mine,신선광산,충북,제천시,송학면,충북 제천시 송학면 송학리 산15,37.184943,128.261,,1973,1976,
1111,mine,동아광산,충북,제천시,수산면,충북 제천시 수산면 구곡리 산17,36.9436466,128.1891941,,1941,1945,
1112,mine,대화,충북,충주시,,충북 충주시,36.991105,127.9260146,,1941,1945,
1113,mine,대한석면공업사,충남,홍성군,구항면,충남 홍성군 구항면 청광리,36.558425,126.6411875,,1958,1972,
1114,mine,광천석면광산,충남,홍성군,광천읍,충남 홍성군 광천읍 상정리,36.5115,126.6126375,,1940,1986,
1115,mine,광천역,충남,홍성군,광천읍,충남 홍성군 광천읍 신진리,36.5108083,126.623675,,1967,1999,
1116,mine,홍성광산,충남,홍성군,구항면,충남 홍성군 구항면 청광리,36.558425,126.6411875,,1957,1967,
1117,mine,화양역,충남,홍성군,금마면,충남 홍성군 금마면 화양리,36.6286,126.7143,,0,0,
1118,mine,대판석면,충남,홍성군,홍동면,충남 홍성군 홍동면 월현리,36.5502,126.6733875,,1944,1945,
1119,mine,동보석분,경기,포천, 영북,경기도 포천시 영북면 야기2리 광산골(쇠골),38.0889164,127.2752905,,1980,1999,
1120,mine,대보석면제분장,충남,보령군,오천면,충남 보령군 오천면 교성리, 주포면 마강리, 청소면,36.617338,126.845397,,1960,1992,
1121,mine,웅포석면공장,충남,보령군,오천면,충남 보령군 오천면 교성리,36.617338,126.845397,,1973,1976,
1122,mine,주포역,충남,보령군,주포면,충남 보령군 주포면 봉당리,36.617338,126.845397,,1970,1975,
1123,mine,석면(흑연)공장,충남,보령군,청소면,충남 보령군 청소면 진죽리,36.617338,126.845397,,1968,1975,
1124,mine,죽림광업소,충남,보령군,청소면,충남 보령군 청소면 죽심리,36.617338,126.845397,,1965,1975,
1125,mine,중앙파우텍,충남,보령군,청소면,충남 보령군 청소면 야현리,36.617338,126.845397,,1965,1994,
1126,mine,한국석면공장,충남,보령군,청소면,충남 보령군 청소면 야현리,36.617338,126.845397,,1959,1983,
1127,mine,정전석면가공공장,충남,보령군,청소면,충남 보령군 청소면 정전이,36.617338,126.845397,,1973,1974,
