VesselIdx,VesselName,VesselMMSI,VesselCall,VesselType,VesselTon,VesselBuilt,VesselLoc,VesselPermit,VesselMaterial,VesselEng,VesselPower,VesselSpd,VesselDim,dateIssue,dateExpire,certiNo,certiOrg,VesselRemarks,tbYard_YardIdx,tbUser_UserIdx,VesselRegDate
1,대동2호,,,어선,10,1997-09-15,전남,선적증서,FRP,디젤,430,0,,,,,,,1,20,2018-10-10 00:00:00
3,신호2호,,,어선,7.31,2001-01-15,전남,연안자망,복합,FRP,대우,360,0,,,,,,,1,20,2018-10-10 00:00:00
4,건양호,,,어선,9.77,2017-04-01,전남,,FRP,현대마린,500,0,,,,,,,1,20,2018-10-10 00:00:00
5,태양호,,,어선,3.01,2010-07-15,충남,연안자망,복합,FRP,스즈끼,300,0,,,,,,,1,20,2018-10-10 00:00:00
6,광진1호,,,어선,2.99,2013-06-15,경남,연안통발, 자망,FRP,현대마린,330,0,9.50/ 3.15/ 0.7,,,,,,1,20,2018-10-10 00:00:00
8,장양호,,,어선,1.99,2010-11-15,부산,연안자망,FRP,야마하,350,38,,,,,,,1,20,2018-10-10 00:00:00
10,칠산1호,,,어선,1.49,2017-11-15,전남,,알루미늄,야마하,200,30,7.36/2.06/0.77,,,,,,1,20,2018-10-10 00:00:00
11,대풍호,,,어선,4.61,2006-01-15,전남,양식장 관리선,FRP,혼다,225,0,길이 10.48m, 넓이 4,,,,,,1,20,2018-10-10 00:00:00
23,해남,,,어선,5,2001-03-15,,연안복합,FRP,대우,300,0,,,,,,,3,20,2018-11-21 15:55:40
37,테스트2,,,어선,0,2018-12-13,,undefined,FRP,,,0,,,,,,,0,20,2018-12-13 13:27:41
38,상현,,,어선,7.31,2018-12-14,,연안복합,연안자망,FRP,대우,360,0,,,,,,,0,20,2018-12-14 09:48:54
39,청해,,,어선,2.92,2001-01-15,제주,연안복합,FRP,야마하,,0,,,,,,,0,20,2018-12-14 09:51:29
40,현대,,,어선,2.99,2018-12-01,,undefined,FRP,현대마린,330,0,,,,,,,0,0,2018-12-14 09:53:15
41,대석,,,어선,5.94,2017-09-15,경남,,FRP,두산,360,23,15.5*12.5*3.08*,,,,,,,,2018-12-14 09:53:15
42,진양,,,어선,3.99,1994-03-15,부산,선적증서,FRP,,165,8,9.45/2.63/1.22,,,,,,,,2018-12-14 09:53:15
43,서해,,,어선,2,2016-04-15,전남,연안복합,FRP,스즈키,250,36,7.22/2.18/0.80,,,,,,,,2018-12-14 09:53:15
